problema,detalle_problema,fecha_orden,cod_venta,cod_tienda,cod_producto,cod_cliente,cantidad,precio_unit,coste_unit,porc_iva,data_ingestion_ts
NULO_ORIGINAL,cod_cliente,15/02/2026,356068,66,222,,3,34.99,13.0863,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,15/02/2026,357315,626,217,326429,,34.99,13.0863,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,16/02/2026,358511,643,491,,2,53.99,41.5723,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,16/02/2026,359049,313,528,,2,4.99,1.8663,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,359649,456,478,328763,1,9.99,3.7363,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,16/02/2026,363095,351,222,,4,34.99,13.0863,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,16/02/2026,364139,313,222,,2,34.99,13.0863,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,369762,514,485,338876,2,21.98,8.2205,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,17/02/2026,370521,523,371,,1,2181.5625,1320.6838,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,17/02/2026,371747,626,478,340861,,9.99,3.7363,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,17/02/2026,372480,492,377,341594,,2181.5625,1320.6838,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,18/02/2026,373741,295,225,,3,8.99,6.9223,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,18/02/2026,377911,487,214,347025,,34.99,13.0863,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,19/02/2026,380964,296,217,350078,,34.99,13.0863,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,19/02/2026,381931,647,528,351045,,4.99,1.8663,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,19/02/2026,386065,572,485,,3,21.98,8.2205,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,20/02/2026,389182,351,350,,1,3374.99,1898.0944,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,20/02/2026,390397,154,480,,1,2.29,0.8565,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,393275,386,478,362389,3,9.99,3.7363,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,393793,333,529,362907,2,3.99,1.4923,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,20/02/2026,394081,264,222,,3,34.99,13.0863,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,395157,23,480,364271,4,2.29,0.8565,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,399909,537,314,369023,1,3578.27,2171.2942,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,21/02/2026,402448,296,357,371562,,2319.99,1265.6195,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,22/02/2026,404838,176,355,373952,,2319.99,1265.6195,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,405845,306,361,374959,4,2294.99,1251.9813,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,22/02/2026,410406,213,538,379520,,21.49,8.0373,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,414704,601,225,383818,4,8.99,6.9223,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,23/02/2026,417462,66,574,,1,2384.07,1481.9379,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,24/02/2026,420888,2,479,390002,,8.99,3.3623,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,24/02/2026,422057,287,327,,2,782.99,486.7066,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,24/02/2026,426983,411,538,,3,21.49,8.0373,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,25/02/2026,431027,351,214,,4,34.99,13.0863,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,25/02/2026,432595,302,476,401709,,69.99,26.1763,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,25/02/2026,434001,444,487,,3,54.99,20.5663,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,434724,313,480,403838,1,2.29,0.8565,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,435418,190,535,404532,1,24.99,9.3463,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,26/02/2026,437138,411,222,406252,,34.99,13.0863,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,26/02/2026,437781,212,354,,1,2071.4196,1117.8559,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,26/02/2026,439724,45,228,408838,,49.99,38.4923,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,27/02/2026,443271,256,535,412385,,24.99,9.3463,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,444641,647,541,413755,1,28.99,10.8423,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,27/02/2026,444689,549,586,413803,,742.35,461.4448,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,27/02/2026,445220,537,480,414334,,2.29,0.8565,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,27/02/2026,445718,601,582,,2,1700.99,1082.51,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,27/02/2026,446195,23,312,415309,,3578.27,2171.2942,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,27/02/2026,446736,190,541,,2,28.99,10.8423,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,446985,552,222,416099,2,34.99,13.0863,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,27/02/2026,448232,258,597,,1,539.99,294.5797,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,28/02/2026,457289,552,529,,1,3.99,1.4923,21,2026-08-02 05:12:12.124691
DUPLICADO_EXACTO,Aparece 2 veces,4/02/2026,264740,159,491,233854,2,53.99,41.5723,10,2026-08-02 05:12:12.124691
DUPLICADO_EXACTO,Aparece 2 veces,4/02/2026,264740,159,491,233854,2,53.99,41.5723,10,2026-08-02 05:12:12.124691
DUPLICADO_EXACTO,Aparece 2 veces,26/02/2026,439184,302,536,408298,2,29.99,11.2163,8,2026-08-02 05:12:12.124691
DUPLICADO_EXACTO,Aparece 2 veces,26/02/2026,439184,302,536,408298,2,29.99,11.2163,8,2026-08-02 05:12:12.124691
