CodProducto;CodSubcategoria;Producto;Color;PrecioCatálogo;Tamaño;RangoTamaño;Línea;Modelo
474;22;Women's Mountain Shorts, S;Negro;69.99;S;S;M;Women's Mountain Shorts
338;2;Road-650 Negro, 44;Negro;699.0982;44;42-46 CM;R;Road-650
253;14;LL Road Frame - Negro, 58;Negro;297.6346;58;54-58 CM;R;LL Road Frame
240;14;HL Road Frame - Rojo, 62;Rojo;1431.5;62;60-62 CM;R;HL Road Frame
520;15;HL Road Seat/Saddle;NA;52.64;;NA;R;HL Road Seat/Saddle 2
525;12;LL Mountain Frame - Verde, 44;Verde;264.05;44;42-46 CM;M;LL Mountain Frame
333;2;Road-650 Negro, 58;Negro;782.99;58;54-58 CM;R;Road-650
310;2;Road-150 Rojo, 62;Rojo;3578.27;62;60-62 CM;R;Road-150
292;12;HL Mountain Frame - Verde, 48;Verde;1364.5;48;48-52 CM;M;HL Mountain Frame
410;17;LL Mountain Front Wheel;Negro;60.745;;NA;M;LL Mountain Front Wheel
411;17;ML Mountain Front Wheel;Negro;209.025;;NA;M;ML Mountain Front Wheel
431;14;ML Road Frame-W - Amarillo, 42;Amarillo;540.7545;42;42-46 CM;R;ML Road Frame-W
429;14;ML Road Frame-W - Amarillo, 40;Amarillo;540.7545;40;38-40 CM;R;ML Road Frame-W
603;5;HL Bottom Bracket;NA;121.49;;NA;;HL Bottom Bracket
260;14;LL Road Frame - Negro, 62;Negro;306.5636;62;60-62 CM;R;LL Road Frame
324;2;Road-650 Rojo, 62;Rojo;699.0982;62;60-62 CM;R;Road-650
374;2;Road-250 Negro, 44;Negro;2443.35;44;42-46 CM;R;Road-250
377;2;Road-250 Negro, 52;Negro;2181.5625;52;48-52 CM;R;Road-250
448;36;Minipump;NA;19.99;;NA;S;Minipump
396;11;HL Headset;NA;124.73;;NA;;HL Headset
466;20;Half-Finger Gloves, L;Negro;23.5481;L;L;S;Half-Finger Gloves
589;1;Mountain-400-W Verde, 42;Verde;769.49;42;42-46 CM;M;Mountain-400-W
544;13;HL Mountain Pedal;Verde/Negro;80.99;;NA;M;HL Mountain Pedal
581;2;Road-350-W Amarillo, 42;Amarillo;1700.99;42;42-46 CM;R;Road-350-W
473;25;Classic Vest, L;Azul;63.5;L;L;S;Classic Vest
502;16;LL Touring Frame - Azul, 50;Azul;333.42;50;48-52 CM;T;LL Touring Frame
244;14;HL Road Frame - Rojo, 48;Rojo;1263.4598;48;48-52 CM;R;HL Road Frame
239;14;HL Road Frame - Rojo, 62;Rojo;1301.3636;62;60-62 CM;R;HL Road Frame
327;2;Road-650 Rojo, 44;Rojo;782.99;44;42-46 CM;R;Road-650
221;31;Sport-100 Helmet, Azul;Azul;33.6442;;NA;S;Sport-100
486;27;All-Purpose Bike Stand;NA;159;;NA;M;All-Purpose Bike Stand
591;1;Mountain-500 Verde, 40;Verde;564.99;40;38-40 CM;M;Mountain-500
584;2;Road-750 Negro, 58;Negro;539.99;58;54-58 CM;R;Road-750
568;3;Touring-3000 Amarillo, 44;Amarillo;742.35;44;42-46 CM;T;Touring-3000
224;19;AWC Logo Cap;Naranja;8.6442;;NA;S;Cycling Cap
495;16;HL Touring Frame - Amarillo, 50;Amarillo;1003.91;50;48-52 CM;T;HL Touring Frame
367;1;Mountain-300 Negro, 48;Negro;1079.99;48;48-52 CM;M;Mountain-300
215;31;Sport-100 Helmet, Negro;Negro;33.6442;;NA;S;Sport-100
322;2;Road-650 Rojo, 60;Rojo;699.0982;60;60-62 CM;R;Road-650
231;21;Long-Sleeve Logo Jersey, M;Naranja;49.99;M;M;S;Long-Sleeve Logo Jersey
463;20;Half-Finger Gloves, S;Negro;24.49;S;S;S;Half-Finger Gloves
435;14;ML Road Frame-W - Amarillo, 48;Amarillo;540.7545;48;48-52 CM;R;ML Road Frame-W
293;12;HL Mountain Frame - Verde, 46;Verde;1204.3248;46;42-46 CM;M;HL Mountain Frame
523;15;HL Touring Seat/Saddle;NA;52.64;;NA;T;HL Touring Seat/Saddle
343;2;Road-650 Negro, 52;Negro;782.99;52;48-52 CM;R;Road-650
212;31;Sport-100 Helmet, Rojo;Rojo;33.6442;;NA;S;Sport-100
456;24;Women's Tights, S;Negro;74.99;S;S;S;Women's Tights
538;37;LL Road Tire;NA;21.49;;NA;R;LL Road Tire
418;14;ML Road Frame-W - Amarillo, 38;Amarillo;594.83;38;38-40 CM;R;ML Road Frame-W
395;11;ML Headset;NA;102.29;;NA;;ML Headset
561;3;Touring-1000 Amarillo, 46;Amarillo;2384.07;46;42-46 CM;T;Touring-1000
592;1;Mountain-500 Verde, 42;Verde;564.99;42;42-46 CM;M;Mountain-500
412;17;HL Mountain Front Wheel;Negro;300.215;;NA;M;HL Mountain Front Wheel
222;31;Sport-100 Helmet, Azul;Azul;34.99;;NA;S;Sport-100
440;14;HL Road Frame - Negro, 44;Negro;1431.5;44;42-46 CM;R;HL Road Frame
586;3;Touring-3000 Azul, 50;Azul;742.35;50;48-52 CM;T;Touring-3000
582;2;Road-350-W Amarillo, 44;Amarillo;1700.99;44;42-46 CM;R;Road-350-W
365;1;Mountain-300 Negro, 40;Negro;1079.99;40;38-40 CM;M;Mountain-300
453;22;Men's Sports Shorts, M;Negro;59.99;M;M;S;Men's Sports Shorts
519;15;ML Road Seat/Saddle;NA;39.14;;NA;T;ML Road Seat/Saddle 2
450;33;Taillights - Battery-PoweRojo;NA;13.99;;NA;R;Taillight
475;22;Women's Mountain Shorts, M;Negro;69.99;M;M;M;Women's Mountain Shorts
380;2;Road-250 Negro, 58;Negro;2443.35;58;54-58 CM;R;Road-250
384;2;Road-550-W Amarillo, 40;Amarillo;1120.49;40;38-40 CM;R;Road-550-W
445;22;Men's Sports Shorts, S;Negro;59.99;S;S;S;Men's Sports Shorts
455;22;Men's Sports Shorts, XL;Negro;59.99;XL;XL;S;Men's Sports Shorts
358;1;Mountain-200 Negro, 38;Negro;2049.0982;38;38-40 CM;M;Mountain-200
294;12;HL Mountain Frame - Verde, 46;Verde;1240.4545;46;42-46 CM;M;HL Mountain Frame
439;14;HL Road Frame - Negro, 44;Negro;1301.3636;44;42-46 CM;R;HL Road Frame
458;24;Women's Tights, L;Negro;74.99;L;L;S;Women's Tights
233;21;Long-Sleeve Logo Jersey, L;Naranja;48.0673;L;L;S;Long-Sleeve Logo Jersey
382;2;Road-550-W Amarillo, 38;Amarillo;1120.49;38;38-40 CM;R;Road-550-W
404;4;LL Road Handlebars;NA;44.54;;NA;R;LL Road Handlebars
572;3;Touring-3000 Amarillo, 62;Amarillo;742.35;62;60-62 CM;T;Touring-3000
276;14;ML Road Frame - Rojo, 52;Rojo;594.83;52;48-52 CM;R;ML Road Frame
593;1;Mountain-500 Verde, 44;Verde;564.99;44;42-46 CM;M;Mountain-500
574;3;Touring-1000 Azul, 50;Azul;2384.07;50;48-52 CM;T;Touring-1000
348;1;Mountain-100 Negro, 38;Negro;3374.99;38;38-40 CM;M;Mountain-100
279;14;LL Road Frame - Negro, 44;Negro;297.6346;44;42-46 CM;R;LL Road Frame
442;14;HL Road Frame - Negro, 48;Negro;1431.5;48;48-52 CM;R;HL Road Frame
216;31;Sport-100 Helmet, Negro;Negro;33.6442;;NA;S;Sport-100
543;13;ML Mountain Pedal;Verde/Negro;62.09;;NA;M;ML Mountain Pedal
287;14;LL Road Frame - Negro, 52;Negro;337.22;52;48-52 CM;R;LL Road Frame
291;12;HL Mountain Frame - Verde, 44;Verde;1364.5;44;42-46 CM;M;HL Mountain Frame
213;31;Sport-100 Helmet, Rojo;Rojo;33.6442;;NA;S;Sport-100
390;2;Road-550-W Amarillo, 48;Amarillo;1120.49;48;48-52 CM;R;Road-550-W
236;21;Long-Sleeve Logo Jersey, XL;Naranja;48.0673;XL;XL;S;Long-Sleeve Logo Jersey
518;15;LL Road Seat/Saddle;NA;27.12;;NA;R;LL Road Seat/Saddle 1
344;1;Mountain-100 Verde, 38;Verde;3399.99;38;38-40 CM;M;Mountain-100
353;1;Mountain-200 Verde, 38;Verde;2319.99;38;38-40 CM;M;Mountain-200
419;17;LL Mountain Rear Wheel;Negro;87.745;;NA;M;LL Mountain Rear Wheel
420;17;ML Mountain Rear Wheel;Negro;236.025;;NA;M;ML Mountain Rear Wheel
534;12;LL Mountain Frame - Negro, 52;Negro;249.79;52;48-52 CM;M;LL Mountain Frame
563;3;Touring-1000 Amarillo, 54;Amarillo;2384.07;54;54-58 CM;T;Touring-1000
297;12;HL Mountain Frame - Negro, 42;Negro;1226.9091;42;42-46 CM;M;HL Mountain Frame
441;14;HL Road Frame - Negro, 48;Negro;1301.3636;48;48-52 CM;R;HL Road Frame
576;3;Touring-1000 Azul, 60;Azul;2384.07;60;60-62 CM;T;Touring-1000
535;37;LL Mountain Tire;NA;24.99;;NA;M;LL Mountain Tire
528;37;Mountain Tire Tube;NA;4.99;;NA;M;Mountain Tire Tube
556;8;LL Crankset;Negro;175.49;;NA;;LL Crankset
595;1;Mountain-500 Verde, 52;Verde;564.99;52;48-52 CM;M;Mountain-500
227;21;Long-Sleeve Logo Jersey, S;Naranja;48.0673;S;S;S;Long-Sleeve Logo Jersey
217;31;Sport-100 Helmet, Negro;Negro;34.99;;NA;S;Sport-100
500;16;HL Touring Frame - Azul, 60;Azul;1003.91;60;60-62 CM;T;HL Touring Frame
214;31;Sport-100 Helmet, Rojo;Rojo;34.99;;NA;S;Sport-100
451;33;Headlights - Dual-Beam;NA;34.99;;NA;R;Headlights - Dual-Beam
241;14;HL Road Frame - Rojo, 44;Rojo;1263.4598;44;42-46 CM;R;HL Road Frame
371;2;Road-250 Rojo, 58;Rojo;2181.5625;58;54-58 CM;R;Road-250
388;2;Road-550-W Amarillo, 44;Amarillo;1120.49;44;42-46 CM;R;Road-550-W
533;12;LL Mountain Frame - Negro, 48;Negro;249.79;48;48-52 CM;M;LL Mountain Frame
277;14;ML Road Frame - Rojo, 58;Rojo;594.83;58;54-58 CM;R;ML Road Frame
328;2;Road-650 Rojo, 48;Rojo;699.0982;48;48-52 CM;R;Road-650
360;1;Mountain-200 Negro, 42;Negro;2049.0982;42;42-46 CM;M;Mountain-200
478;28;Mountain Bottle Cage;NA;9.99;;NA;M;Mountain Bottle Cage
284;14;LL Road Frame - Negro, 48;Negro;337.22;48;48-52 CM;R;LL Road Frame
513;12;ML Mountain Frame-W - Verde, 46;Verde;364.09;46;42-46 CM;M;ML Mountain Frame-W
521;15;LL Touring Seat/Saddle;NA;27.12;;NA;T;LL Touring Seat/Saddle
303;12;HL Mountain Frame - Negro, 46;Negro;1349.6;46;42-46 CM;M;HL Mountain Frame
524;12;LL Mountain Frame - Verde, 42;Verde;264.05;42;42-46 CM;M;LL Mountain Frame
337;2;Road-650 Negro, 62;Negro;782.99;62;60-62 CM;R;Road-650
362;1;Mountain-200 Negro, 46;Negro;2049.0982;46;42-46 CM;M;Mountain-200
259;14;LL Road Frame - Negro, 62;Negro;297.6346;62;60-62 CM;R;LL Road Frame
421;17;HL Mountain Rear Wheel;Negro;327.215;;NA;M;HL Mountain Rear Wheel
274;14;ML Road Frame - Rojo, 44;Rojo;594.83;44;42-46 CM;R;ML Road Frame
257;14;LL Road Frame - Negro, 60;Negro;306.5636;60;60-62 CM;R;LL Road Frame
352;1;Mountain-200 Verde, 38;Verde;2071.4196;38;38-40 CM;M;Mountain-200
255;14;LL Road Frame - Negro, 58;Negro;337.22;58;54-58 CM;R;LL Road Frame
402;4;HL Mountain Handlebars;NA;120.27;;NA;M;HL Mountain Handlebars
481;23;Racing Socks, M;Blanco;8.99;M;M;R;Racing Socks
554;4;HL Touring Handlebars;NA;91.57;;NA;T;HL Touring Handlebars
529;37;Road Tire Tube;NA;3.99;;NA;R;Road Tire Tube
512;12;ML Mountain Frame-W - Verde, 42;Verde;364.09;42;42-46 CM;M;ML Mountain Frame-W
335;2;Road-650 Negro, 60;Negro;782.99;60;60-62 CM;R;Road-650
601;5;LL Bottom Bracket;NA;53.99;;NA;;LL Bottom Bracket
452;33;Headlights - Weatherproof;NA;44.99;;NA;R;Headlights - Weatherproof
271;14;LL Road Frame - Rojo, 60;Rojo;337.22;60;60-62 CM;R;LL Road Frame
504;16;LL Touring Frame - Azul, 58;Azul;333.42;58;54-58 CM;T;LL Touring Frame
273;14;LL Road Frame - Rojo, 62;Rojo;337.22;62;60-62 CM;R;LL Road Frame
238;14;HL Road Frame - Rojo, 62;Rojo;1263.4598;62;60-62 CM;R;HL Road Frame
570;3;Touring-3000 Amarillo, 54;Amarillo;742.35;54;54-58 CM;T;Touring-3000
355;1;Mountain-200 Verde, 42;Verde;2319.99;42;42-46 CM;M;Mountain-200
309;12;HL Mountain Frame - Verde, 38;Verde;1364.5;38;38-40 CM;M;HL Mountain Frame
403;4;LL Road Handlebars;NA;40.4909;;NA;R;LL Road Handlebars
230;21;Long-Sleeve Logo Jersey, M;Naranja;48.0673;M;M;S;Long-Sleeve Logo Jersey
317;2;Road-450 Rojo, 44;Rojo;1457.99;44;42-46 CM;R;Road-450
357;1;Mountain-200 Verde, 46;Verde;2319.99;46;42-46 CM;M;Mountain-200
332;2;Road-650 Negro, 58;Negro;699.0982;58;54-58 CM;R;Road-650
319;2;Road-450 Rojo, 52;Rojo;1457.99;52;48-52 CM;R;Road-450
368;2;Road-250 Rojo, 44;Rojo;2443.35;44;42-46 CM;R;Road-250
218;23;Mountain Bike Socks, M;Blanco;9.5;M;M;M;Mountain Bike Socks
370;2;Road-250 Rojo, 52;Rojo;2443.35;52;48-52 CM;R;Road-250
366;1;Mountain-300 Negro, 44;Negro;1079.99;44;42-46 CM;M;Mountain-300
479;28;Road Bottle Cage;NA;8.99;;NA;R;Road Bottle Cage
263;14;LL Road Frame - Rojo, 44;Rojo;337.22;44;42-46 CM;R;LL Road Frame
573;3;Touring-1000 Azul, 46;Azul;2384.07;46;42-46 CM;T;Touring-1000
290;12;HL Mountain Frame - Verde, 42;Verde;1364.5;42;42-46 CM;M;HL Mountain Frame
604;2;Road-750 Negro, 44;Negro;539.99;44;42-46 CM;R;Road-750
300;12;HL Mountain Frame - Negro, 48;Negro;1349.6;48;48-52 CM;M;HL Mountain Frame
606;2;Road-750 Negro, 52;Negro;539.99;52;48-52 CM;R;Road-750
301;12;HL Mountain Frame - Negro, 46;Negro;1191.1739;46;42-46 CM;M;HL Mountain Frame
351;1;Mountain-100 Negro, 48;Negro;3374.99;48;48-52 CM;M;Mountain-100
499;16;HL Touring Frame - Azul, 54;Azul;1003.91;54;54-58 CM;T;HL Touring Frame
232;21;Long-Sleeve Logo Jersey, L;Naranja;48.0673;L;L;S;Long-Sleeve Logo Jersey
444;14;HL Road Frame - Negro, 52;Negro;1431.5;52;48-52 CM;R;HL Road Frame
326;2;Road-650 Rojo, 44;Rojo;699.0982;44;42-46 CM;R;Road-650
507;16;LL Touring Frame - Amarillo, 50;Amarillo;333.42;50;48-52 CM;T;LL Touring Frame
560;3;Touring-2000 Azul, 60;Azul;1214.85;60;60-62 CM;T;Touring-2000
321;2;Road-650 Rojo, 58;Rojo;782.99;58;54-58 CM;R;Road-650
392;10;ML Fork;NA;175.49;;NA;;ML Fork
347;1;Mountain-100 Verde, 48;Verde;3399.99;48;48-52 CM;M;Mountain-100
547;13;HL Road Pedal;Verde/Negro;80.99;;NA;R;HL Road Pedal
342;2;Road-650 Negro, 52;Negro;699.0982;52;48-52 CM;R;Road-650
578;3;Touring-2000 Azul, 50;Azul;1214.85;50;48-52 CM;T;Touring-2000
270;14;LL Road Frame - Rojo, 60;Rojo;306.5636;60;60-62 CM;R;LL Road Frame
278;14;ML Road Frame - Rojo, 60;Rojo;594.83;60;60-62 CM;R;ML Road Frame
422;17;LL Road Rear Wheel;Negro;112.565;;NA;R;LL Road Rear Wheel
415;17;HL Road Front Wheel;Negro;330.06;;NA;R;HL Road Front Wheel
272;14;LL Road Frame - Rojo, 62;Rojo;306.5636;62;60-62 CM;R;LL Road Frame
443;14;HL Road Frame - Negro, 52;Negro;1301.3636;52;48-52 CM;R;HL Road Frame
265;14;LL Road Frame - Rojo, 48;Rojo;337.22;48;48-52 CM;R;LL Road Frame
235;21;Long-Sleeve Logo Jersey, XL;Naranja;48.0673;XL;XL;S;Long-Sleeve Logo Jersey
354;1;Mountain-200 Verde, 42;Verde;2071.4196;42;42-46 CM;M;Mountain-200
356;1;Mountain-200 Verde, 46;Verde;2071.4196;46;42-46 CM;M;Mountain-200
378;2;Road-250 Negro, 52;Negro;2443.35;52;48-52 CM;R;Road-250
545;13;LL Road Pedal;Verde/Negro;40.49;;NA;R;LL Road Pedal
532;12;LL Mountain Frame - Negro, 44;Negro;249.79;44;42-46 CM;M;LL Mountain Frame
269;14;LL Road Frame - Rojo, 58;Rojo;337.22;58;54-58 CM;R;LL Road Frame
306;12;HL Mountain Frame - Negro, 38;Negro;1349.6;38;38-40 CM;M;HL Mountain Frame
262;14;LL Road Frame - Rojo, 44;Rojo;306.5636;44;42-46 CM;R;LL Road Frame
467;20;Half-Finger Gloves, L;Negro;24.49;L;L;S;Half-Finger Gloves
497;16;HL Touring Frame - Azul, 46;Azul;1003.91;46;42-46 CM;T;HL Touring Frame
571;3;Touring-3000 Amarillo, 58;Amarillo;742.35;58;54-58 CM;T;Touring-3000
555;6;Front Brakes;Verde;106.5;;NA;;Front Brakes
493;16;LL Touring Frame - Amarillo, 62;Amarillo;333.42;62;60-62 CM;T;LL Touring Frame
469;20;Full-Finger Gloves, M;Negro;37.99;M;M;M;Full-Finger Gloves
375;2;Road-250 Negro, 48;Negro;2181.5625;48;48-52 CM;R;Road-250
542;13;LL Mountain Pedal;Verde/Negro;40.49;;NA;M;LL Mountain Pedal
331;2;Road-650 Rojo, 52;Rojo;782.99;52;48-52 CM;R;Road-650
226;21;Long-Sleeve Logo Jersey, S;Naranja;48.0673;S;S;S;Long-Sleeve Logo Jersey
559;7;Chain;Verde;20.24;;NA;;Chain
464;20;Half-Finger Gloves, M;Negro;23.5481;M;M;S;Half-Finger Gloves
417;14;ML Road Frame-W - Amarillo, 38;Amarillo;540.7545;38;38-40 CM;R;ML Road Frame-W
407;4;HL Road Handlebars;NA;109.3364;;NA;R;HL Road Handlebars
575;3;Touring-1000 Azul, 54;Azul;2384.07;54;54-58 CM;T;Touring-1000
503;16;LL Touring Frame - Azul, 54;Azul;333.42;54;54-58 CM;T;LL Touring Frame
489;21;Short-Sleeve Classic Jersey, M;Amarillo;53.99;M;M;S;Short-Sleeve Classic Jersey
546;13;ML Road Pedal;Verde/Negro;62.09;;NA;R;ML Road Pedal
281;14;LL Road Frame - Negro, 44;Negro;337.22;44;42-46 CM;R;LL Road Frame
552;9;Front Derailleur;Verde;91.49;;NA;;Front Derailleur
252;14;HL Road Frame - Rojo, 56;Rojo;1431.5;56;54-58 CM;R;HL Road Frame
393;10;HL Fork;NA;229.49;;NA;;HL Fork
491;21;Short-Sleeve Classic Jersey, XL;Amarillo;53.99;XL;XL;S;Short-Sleeve Classic Jersey
496;16;HL Touring Frame - Amarillo, 54;Amarillo;1003.91;54;54-58 CM;T;HL Touring Frame
318;2;Road-450 Rojo, 48;Rojo;1457.99;48;48-52 CM;R;Road-450
454;22;Men's Sports Shorts, L;Negro;59.99;L;L;S;Men's Sports Shorts
369;2;Road-250 Rojo, 48;Rojo;2443.35;48;48-52 CM;R;Road-250
341;2;Road-650 Negro, 48;Negro;782.99;48;48-52 CM;R;Road-650
487;32;Hydration Pack - 70 oz.;Verde;54.99;70;70;S;Hydration Pack
307;12;HL Mountain Frame - Verde, 38;Verde;1204.3248;38;38-40 CM;M;HL Mountain Frame
541;37;Touring Tire;NA;28.99;;NA;T;Touring Tire
605;2;Road-750 Negro, 48;Negro;539.99;48;48-52 CM;R;Road-750
264;14;LL Road Frame - Rojo, 48;Rojo;306.5636;48;48-52 CM;R;LL Road Frame
553;4;LL Touring Handlebars;NA;46.09;;NA;T;LL Touring Handlebars
251;14;HL Road Frame - Rojo, 56;Rojo;1301.3636;56;54-58 CM;R;HL Road Frame
566;3;Touring-3000 Azul, 58;Azul;742.35;58;54-58 CM;T;Touring-3000
517;15;HL Mountain Seat/Saddle;NA;52.64;;NA;M;HL Mountain Seat/Saddle 2
569;3;Touring-3000 Amarillo, 50;Amarillo;742.35;50;48-52 CM;T;Touring-3000
288;12;HL Mountain Frame - Verde, 42;Verde;1204.3248;42;42-46 CM;M;HL Mountain Frame
423;17;ML Road Rear Wheel;Negro;275.385;;NA;R;ML Road Rear Wheel
385;2;Road-550-W Amarillo, 42;Amarillo;1000.4375;42;42-46 CM;R;Road-550-W
268;14;LL Road Frame - Rojo, 58;Rojo;306.5636;58;54-58 CM;R;LL Road Frame
304;12;HL Mountain Frame - Negro, 38;Negro;1191.1739;38;38-40 CM;M;HL Mountain Frame
299;12;HL Mountain Frame - Negro, 44;Negro;1349.6;44;42-46 CM;M;HL Mountain Frame
424;17;HL Road Rear Wheel;Negro;357.06;;NA;R;HL Road Rear Wheel
550;12;LL Mountain Frame - Negro, 40;Negro;249.79;40;38-40 CM;M;LL Mountain Frame
461;18;Men's Bib-Shorts, L;Naranja;89.99;L;L;S;Men's Bib-Shorts
599;1;Mountain-500 Negro, 48;Negro;539.99;48;48-52 CM;M;Mountain-500
225;19;AWC Logo Cap;Naranja;8.99;;NA;S;Cycling Cap
229;21;Long-Sleeve Logo Jersey, M;Naranja;48.0673;M;M;S;Long-Sleeve Logo Jersey
494;16;HL Touring Frame - Amarillo, 46;Amarillo;1003.91;46;42-46 CM;T;HL Touring Frame
416;17;Touring Front Wheel;Negro;218.01;;NA;T;Touring Front Wheel
256;14;LL Road Frame - Negro, 60;Negro;297.6346;60;60-62 CM;R;LL Road Frame
511;12;ML Mountain Frame-W - Verde, 40;Verde;364.09;40;38-40 CM;M;ML Mountain Frame-W
373;2;Road-250 Negro, 44;Negro;2181.5625;44;42-46 CM;R;Road-250
492;16;HL Touring Frame - Amarillo, 60;Amarillo;1003.91;60;60-62 CM;T;HL Touring Frame
459;18;Men's Bib-Shorts, S;Naranja;89.99;S;S;S;Men's Bib-Shorts
316;2;Road-450 Rojo, 60;Rojo;1457.99;60;60-62 CM;R;Road-450
349;1;Mountain-100 Negro, 42;Negro;3374.99;42;42-46 CM;M;Mountain-100
286;14;LL Road Frame - Negro, 52;Negro;306.5636;52;48-52 CM;R;LL Road Frame
308;12;HL Mountain Frame - Verde, 38;Verde;1240.4545;38;38-40 CM;M;HL Mountain Frame
434;14;ML Road Frame-W - Amarillo, 44;Amarillo;594.83;44;42-46 CM;R;ML Road Frame-W
558;8;HL Crankset;Negro;404.99;;NA;;HL Crankset
261;14;LL Road Frame - Negro, 62;Negro;337.22;62;60-62 CM;R;LL Road Frame
577;3;Touring-2000 Azul, 46;Azul;1214.85;46;42-46 CM;T;Touring-2000
501;9;Rear Derailleur;Verde;121.46;;NA;;Rear Derailleur
432;14;ML Road Frame-W - Amarillo, 42;Amarillo;594.83;42;42-46 CM;R;ML Road Frame-W
430;14;ML Road Frame-W - Amarillo, 40;Amarillo;594.83;40;38-40 CM;R;ML Road Frame-W
585;3;Touring-3000 Azul, 44;Azul;742.35;44;42-46 CM;T;Touring-3000
540;37;HL Road Tire;NA;32.6;;NA;R;HL Road Tire
289;12;HL Mountain Frame - Verde, 42;Verde;1240.4545;42;42-46 CM;M;HL Mountain Frame
345;1;Mountain-100 Verde, 42;Verde;3399.99;42;42-46 CM;M;Mountain-100
336;2;Road-650 Negro, 62;Negro;699.0982;62;60-62 CM;R;Road-650
249;14;HL Road Frame - Rojo, 52;Rojo;1431.5;52;48-52 CM;R;HL Road Frame
462;20;Half-Finger Gloves, S;Negro;23.5481;S;S;S;Half-Finger Gloves
505;16;LL Touring Frame - Azul, 62;Azul;333.42;62;60-62 CM;T;LL Touring Frame
449;36;Mountain Pump;NA;24.99;;NA;M;Mountain Pump
267;14;LL Road Frame - Rojo, 52;Rojo;337.22;52;48-52 CM;R;LL Road Frame
551;12;LL Mountain Frame - Verde, 40;Verde;264.05;40;38-40 CM;M;LL Mountain Frame
339;2;Road-650 Negro, 44;Negro;782.99;44;42-46 CM;R;Road-650
428;12;ML Mountain Frame - Negro, 48;Negro;348.76;48;48-52 CM;M;ML Mountain Frame
472;25;Classic Vest, M;Azul;63.5;M;M;S;Classic Vest
406;4;ML Road Handlebars;NA;61.92;;NA;R;ML Road Handlebars
447;34;Cable Lock;NA;25;;NA;S;Cable Lock
275;14;ML Road Frame - Rojo, 48;Rojo;594.83;48;48-52 CM;R;ML Road Frame
311;2;Road-150 Rojo, 44;Rojo;3578.27;44;42-46 CM;R;Road-150
313;2;Road-150 Rojo, 52;Rojo;3578.27;52;48-52 CM;R;Road-150
325;2;Road-650 Rojo, 62;Rojo;782.99;62;60-62 CM;R;Road-650
248;14;HL Road Frame - Rojo, 52;Rojo;1301.3636;52;48-52 CM;R;HL Road Frame
334;2;Road-650 Negro, 60;Negro;699.0982;60;60-62 CM;R;Road-650
